,vteTim Burton,vteTim Burton.1
0,Filmography Frequent collaborators Unproduced projects Tim Burton Productions Skellington Productions,Filmography Frequent collaborators Unproduced projects Tim Burton Productions Skellington Productions
1,Director,"Feature films Pee-wee's Big Adventure (1985) Beetlejuice (1988) Batman (1989) Edward Scissorhands (1990, also wrote) Batman Returns (1992) Ed Wood (1994) Mars Attacks! (1996) Sleepy Hollow (1999) Planet of the Apes (2001) Big Fish (2003) Charlie and the Chocolate Factory (2005) Corpse Bride (2005, also created characters) Sweeney Todd: The Demon Barber of Fleet Street (2007) Alice in Wonderland (2010) Dark Shadows (2012) Frankenweenie (2012, also wrote) Big Eyes (2014) Miss Peregrine's Home for Peculiar Children (2016) Dumbo (2019) Short films The Island of Doctor Agor (1971) Stalk of the Celery Monster (1979) Vincent (1982, also wrote) Hansel and Gretel (1983) Frankenweenie (1984) Stainboy (2000) TV series Wednesday (TBA) Music videos ""Bones"" ""Here with Me"""
2,Feature films,"Pee-wee's Big Adventure (1985) Beetlejuice (1988) Batman (1989) Edward Scissorhands (1990, also wrote) Batman Returns (1992) Ed Wood (1994) Mars Attacks! (1996) Sleepy Hollow (1999) Planet of the Apes (2001) Big Fish (2003) Charlie and the Chocolate Factory (2005) Corpse Bride (2005, also created characters) Sweeney Todd: The Demon Barber of Fleet Street (2007) Alice in Wonderland (2010) Dark Shadows (2012) Frankenweenie (2012, also wrote) Big Eyes (2014) Miss Peregrine's Home for Peculiar Children (2016) Dumbo (2019)"
3,Short films,"The Island of Doctor Agor (1971) Stalk of the Celery Monster (1979) Vincent (1982, also wrote) Hansel and Gretel (1983) Frankenweenie (1984) Stainboy (2000)"
4,TV series,Wednesday (TBA)
5,Music videos,"""Bones"" ""Here with Me"""
6,Writer,Films The Nightmare Before Christmas (1993) Books The Melancholy Death of Oyster Boy & Other Stories (1997)
7,Films,The Nightmare Before Christmas (1993)
8,Books,The Melancholy Death of Oyster Boy & Other Stories (1997)
9,TV series produced,Beetlejuice (1989â€“1991) Family Dog (1993)
